steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*NNH2 + 2H2,-0.6814988044206984,-1.1678648038068786,-1.1555994616937824,-0.2687837405828759,-0.4419401146005839,-0.24227299098856747,-0.8237452163011767,-0.7810501689091325,-0.6586649378295988
*NNH2 + 2H2,-0.6814988044206984,-1.1678648038068786,-1.1555994616937824,-0.2687837405828759,-0.4419401146005839,-0.24227299098856747,-0.8237452163011767,-0.7810501689091325,-0.6586649378295988
*NNH2 + 2H2,-0.6814988044206984,-1.1678648038068786,-1.1555994616937824,-0.2687837405828759,-0.4419401146005839,-0.24227299098856747,-0.8237452163011767,-0.7810501689091325,-0.6586649378295988
*NNH2 + 2H2,-0.6814988044206984,-1.1678648038068786,-1.1555994616937824,-0.2687837405828759,-0.4419401146005839,-0.24227299098856747,-0.8237452163011767,-0.7810501689091325,-0.6586649378295988
*NNH2 + 2H2,-0.6814988044206984,-1.1678648038068786,-1.1555994616937824,-0.2687837405828759,-0.4419401146005839,-0.24227299098856747,-0.8237452163011767,-0.7810501689091325,-0.6586649378295988
*NNH3 + H2 + H,-0.09030233137309551,-2.1898472557077184,-1.888493205420673,-0.1416856439318508,-0.03169167845044285,-0.5334899421432056,-3.01638006180292,-0.6460617041448131,-1.4308299106778577
*NNH3 + H2 + H,-0.09030233137309551,-2.1898472557077184,-1.888493205420673,-0.1416856439318508,-0.03169167845044285,-0.5334899421432056,-3.01638006180292,-0.6460617041448131,-1.4308299106778577
*NNH3 + H2 + H,-0.09030233137309551,-2.1898472557077184,-1.888493205420673,-0.1416856439318508,-0.03169167845044285,-0.5334899421432056,-3.01638006180292,-0.6460617041448131,-1.4308299106778577
*NNH3 + H2 + H,-0.09030233137309551,-2.1898472557077184,-1.888493205420673,-0.1416856439318508,-0.03169167845044285,-0.5334899421432056,-3.01638006180292,-0.6460617041448131,-1.4308299106778577
*NNH3 + H2 + H,-0.09030233137309551,-2.1898472557077184,-1.888493205420673,-0.1416856439318508,-0.03169167845044285,-0.5334899421432056,-3.01638006180292,-0.6460617041448131,-1.4308299106778577
*N + H2 + H + NH3,-0.4261677028844133,-1.7592809041962028,-1.742398681351915,-0.40755097329383716,-0.6508547650882974,-1.1730109456693754,-1.1020833128714003,-1.108061576145701,-0.9777870028046891
*N + H2 + H + NH3,-0.4261677028844133,-1.7592809041962028,-1.742398681351915,-0.40755097329383716,-0.6508547650882974,-1.1730109456693754,-1.1020833128714003,-1.108061576145701,-0.9777870028046891
*N + H2 + H + NH3,-0.4261677028844133,-1.7592809041962028,-1.742398681351915,-0.40755097329383716,-0.6508547650882974,-1.1730109456693754,-1.1020833128714003,-1.108061576145701,-0.9777870028046891
*N + H2 + H + NH3,-0.4261677028844133,-1.7592809041962028,-1.742398681351915,-0.40755097329383716,-0.6508547650882974,-1.1730109456693754,-1.1020833128714003,-1.108061576145701,-0.9777870028046891
*N + H2 + H + NH3,-0.4261677028844133,-1.7592809041962028,-1.742398681351915,-0.40755097329383716,-0.6508547650882974,-1.1730109456693754,-1.1020833128714003,-1.108061576145701,-0.9777870028046891
*NH + H2 + NH3,-2.0573656241758727,-2.506903131317813,-2.4155121237854473,-1.607756832789164,-1.5045258260215633,-1.5982347257668152,-2.0030859443941154,-2.0826347892871127,-1.9460201401961967
*NH + H2 + NH3,-2.0573656241758727,-2.506903131317813,-2.4155121237854473,-1.607756832789164,-1.5045258260215633,-1.5982347257668152,-2.0030859443941154,-2.0826347892871127,-1.9460201401961967
*NH + H2 + NH3,-2.0573656241758727,-2.506903131317813,-2.4155121237854473,-1.607756832789164,-1.5045258260215633,-1.5982347257668152,-2.0030859443941154,-2.0826347892871127,-1.9460201401961967
