steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2N* - * + 3H2,0.6211377436993644,0.4769914149073884,0.5994758084998466,0.6468353578238748,0.490570159163326,0.6462144356919453,0.5920652876375243,0.5886309862253256,0.007415787549689412
2N* - * + 3H2,0.6211377436993644,0.4769914149073884,0.5994758084998466,0.6468353578238748,0.490570159163326,0.6462144356919453,0.5920652876375243,0.5886309862253256,0.007415787549689412
2N* - * + 3H2,0.6211377436993644,0.4769914149073884,0.5994758084998466,0.6468353578238748,0.490570159163326,0.6462144356919453,0.5920652876375243,0.5886309862253256,0.007415787549689412
2N* - * + 3H2,0.6211377436993644,0.4769914149073884,0.5994758084998466,0.6468353578238748,0.490570159163326,0.6462144356919453,0.5920652876375243,0.5886309862253256,0.007415787549689412
2N* - * + 3H2,0.6211377436993644,0.4769914149073884,0.5994758084998466,0.6468353578238748,0.490570159163326,0.6462144356919453,0.5920652876375243,0.5886309862253256,0.007415787549689412
2NH* - * + 2H2,-0.5586558128125034,-0.7521526503842324,-0.6525075561949052,-0.3925405675545335,-0.4081615946488455,-0.5515147707192227,-0.5012538784067146,-0.576628457987681,-0.9761910728993826
2NH* - * + 2H2,-0.5586558128125034,-0.7521526503842324,-0.6525075561949052,-0.3925405675545335,-0.4081615946488455,-0.5515147707192227,-0.5012538784067146,-0.576628457987681,-0.9761910728993826
2NH* - * + 2H2,-0.5586558128125034,-0.7521526503842324,-0.6525075561949052,-0.3925405675545335,-0.4081615946488455,-0.5515147707192227,-0.5012538784067146,-0.576628457987681,-0.9761910728993826
2NH* - * + 2H2,-0.5586558128125034,-0.7521526503842324,-0.6525075561949052,-0.3925405675545335,-0.4081615946488455,-0.5515147707192227,-0.5012538784067146,-0.576628457987681,-0.9761910728993826
2NH* - * + 2H2,-0.5586558128125034,-0.7521526503842324,-0.6525075561949052,-0.3925405675545335,-0.4081615946488455,-0.5515147707192227,-0.5012538784067146,-0.576628457987681,-0.9761910728993826
2NH2* - * + H2,-1.3975470683071762,-1.2837044777697884,-1.2433215606142767,-0.9220640388666652,-0.9511858155601658,-1.3979098861454986,-1.2893191477051005,-1.384315888513811,-1.671337737934664
2NH2* - * + H2,-1.3975470683071762,-1.2837044777697884,-1.2433215606142767,-0.9220640388666652,-0.9511858155601658,-1.3979098861454986,-1.2893191477051005,-1.384315888513811,-1.671337737934664
2NH2* - * + H2,-1.3975470683071762,-1.2837044777697884,-1.2433215606142767,-0.9220640388666652,-0.9511858155601658,-1.3979098861454986,-1.2893191477051005,-1.384315888513811,-1.671337737934664
2NH2* - * + H2,-1.3975470683071762,-1.2837044777697884,-1.2433215606142767,-0.9220640388666652,-0.9511858155601658,-1.3979098861454986,-1.2893191477051005,-1.384315888513811,-1.671337737934664
2NH2* - * + H2,-1.3975470683071762,-1.2837044777697884,-1.2433215606142767,-0.9220640388666652,-0.9511858155601658,-1.3979098861454986,-1.2893191477051005,-1.384315888513811,-1.671337737934664
2NH3* - *,-2.260351811069995,-2.140334493597038,-2.280870226328261,-2.169496662914753,-2.1790224924334325,-2.2453658466110937,-2.253193745505996,-1.8961293755564839,-2.2046823698910885
2NH3* - *,-2.260351811069995,-2.140334493597038,-2.280870226328261,-2.169496662914753,-2.1790224924334325,-2.2453658466110937,-2.253193745505996,-1.8961293755564839,-2.2046823698910885
2NH3* - *,-2.260351811069995,-2.140334493597038,-2.280870226328261,-2.169496662914753,-2.1790224924334325,-2.2453658466110937,-2.253193745505996,-1.8961293755564839,-2.2046823698910885
2NH3* - *,-2.260351811069995,-2.140334493597038,-2.280870226328261,-2.169496662914753,-2.1790224924334325,-2.2453658466110937,-2.253193745505996,-1.8961293755564839,-2.2046823698910885
2NH3* - *,-2.260351811069995,-2.140334493597038,-2.280870226328261,-2.169496662914753,-2.1790224924334325,-2.2453658466110937,-2.253193745505996,-1.8961293755564839,-2.2046823698910885
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
