steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*NHNH + 2H2,-0.16739265352953225,-0.12733631680021062,-0.15952790633309633,-0.10552032018313184,-0.13965290074702352,-0.15681624598801136,-0.13723811140516773,-0.15043879125732929,-0.13952533365227282
*NHNH + 2H2,-0.16739265352953225,-0.12733631680021062,-0.15952790633309633,-0.10552032018313184,-0.13965290074702352,-0.15681624598801136,-0.13723811140516773,-0.15043879125732929,-0.13952533365227282
*NHNH + 2H2,-0.16739265352953225,-0.12733631680021062,-0.15952790633309633,-0.10552032018313184,-0.13965290074702352,-0.15681624598801136,-0.13723811140516773,-0.15043879125732929,-0.13952533365227282
*NHNH + 2H2,-0.16739265352953225,-0.12733631680021062,-0.15952790633309633,-0.10552032018313184,-0.13965290074702352,-0.15681624598801136,-0.13723811140516773,-0.15043879125732929,-0.13952533365227282
*NHNH + 2H2,-0.16739265352953225,-0.12733631680021062,-0.15952790633309633,-0.10552032018313184,-0.13965290074702352,-0.15681624598801136,-0.13723811140516773,-0.15043879125732929,-0.13952533365227282
*NHNH2 + H2 + H,-1.0130419628112577,-0.5947534203296527,-0.6141414124285802,-1.2767172827152535,-1.283860222902149,-1.2678968871477991,-0.7784882455016486,-0.7226844166289084,-0.8380297639523633
*NHNH2 + H2 + H,-1.0130419628112577,-0.5947534203296527,-0.6141414124285802,-1.2767172827152535,-1.283860222902149,-1.2678968871477991,-0.7784882455016486,-0.7226844166289084,-0.8380297639523633
*NHNH2 + H2 + H,-1.0130419628112577,-0.5947534203296527,-0.6141414124285802,-1.2767172827152535,-1.283860222902149,-1.2678968871477991,-0.7784882455016486,-0.7226844166289084,-0.8380297639523633
*NHNH2 + H2 + H,-1.0130419628112577,-0.5947534203296527,-0.6141414124285802,-1.2767172827152535,-1.283860222902149,-1.2678968871477991,-0.7784882455016486,-0.7226844166289084,-0.8380297639523633
*NHNH2 + H2 + H,-1.0130419628112577,-0.5947534203296527,-0.6141414124285802,-1.2767172827152535,-1.283860222902149,-1.2678968871477991,-0.7784882455016486,-0.7226844166289084,-0.8380297639523633
*N2H4 + H2,-1.1251892710570246,-0.8850707895471714,-1.5389607063261792,-1.2160787900793366,-1.4401020244695246,-1.0594501830055378,-1.1103610919089988,-1.146694159717299,-1.4739099961007014
*N2H4 + H2,-1.1251892710570246,-0.8850707895471714,-1.5389607063261792,-1.2160787900793366,-1.4401020244695246,-1.0594501830055378,-1.1103610919089988,-1.146694159717299,-1.4739099961007014
*N2H4 + H2,-1.1251892710570246,-0.8850707895471714,-1.5389607063261792,-1.2160787900793366,-1.4401020244695246,-1.0594501830055378,-1.1103610919089988,-1.146694159717299,-1.4739099961007014
*N2H4 + H2,-1.1251892710570246,-0.8850707895471714,-1.5389607063261792,-1.2160787900793366,-1.4401020244695246,-1.0594501830055378,-1.1103610919089988,-1.146694159717299,-1.4739099961007014
*N2H4 + H2,-1.1251892710570246,-0.8850707895471714,-1.5389607063261792,-1.2160787900793366,-1.4401020244695246,-1.0594501830055378,-1.1103610919089988,-1.146694159717299,-1.4739099961007014
*NH2NH3 + H,-3.0492339565535076,-2.286471806175541,-2.7999716051854193,-2.5073452969663776,-2.4319449087488465,-3.019700263161212,-2.989849016594235,-2.4623627144028433,-2.601714836608153
*NH2NH3 + H,-3.0492339565535076,-2.286471806175541,-2.7999716051854193,-2.5073452969663776,-2.4319449087488465,-3.019700263161212,-2.989849016594235,-2.4623627144028433,-2.601714836608153
*NH2NH3 + H,-3.0492339565535076,-2.286471806175541,-2.7999716051854193,-2.5073452969663776,-2.4319449087488465,-3.019700263161212,-2.989849016594235,-2.4623627144028433,-2.601714836608153
*NH2NH3 + H,-3.0492339565535076,-2.286471806175541,-2.7999716051854193,-2.5073452969663776,-2.4319449087488465,-3.019700263161212,-2.989849016594235,-2.4623627144028433,-2.601714836608153
