steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2 + 3H2,-0.8840830644476227,-0.7546062138862908,-0.8537990436307155,-0.7594634625129402,-0.7278134044609033,-0.8771205848897807,-0.8478552340529859,-0.8846752662793733,-0.7685344070778228
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*N2H + 2H2 + H,0.2540256342617795,0.22065233218017966,0.2363810974638909,0.3782015881733969,0.046965591551270336,0.2888193581602536,0.16772667306941003,0.2581653941888362,-0.46255745890084654
*NNH2 + 2H2,-0.30258261534618214,-0.4071186921792105,-0.355528651853092,-0.24110826925607398,-0.1615420919843018,-0.23929000570205972,-0.3679486445616931,-0.2702726331190206,-0.6720416496391408
*NNH2 + 2H2,-0.30258261534618214,-0.4071186921792105,-0.355528651853092,-0.24110826925607398,-0.1615420919843018,-0.23929000570205972,-0.3679486445616931,-0.2702726331190206,-0.6720416496391408
*NNH2 + 2H2,-0.30258261534618214,-0.4071186921792105,-0.355528651853092,-0.24110826925607398,-0.1615420919843018,-0.23929000570205972,-0.3679486445616931,-0.2702726331190206,-0.6720416496391408
*NNH2 + 2H2,-0.30258261534618214,-0.4071186921792105,-0.355528651853092,-0.24110826925607398,-0.1615420919843018,-0.23929000570205972,-0.3679486445616931,-0.2702726331190206,-0.6720416496391408
*NNH2 + 2H2,-0.30258261534618214,-0.4071186921792105,-0.355528651853092,-0.24110826925607398,-0.1615420919843018,-0.23929000570205972,-0.3679486445616931,-0.2702726331190206,-0.6720416496391408
*NNH3 + H2 + H,-0.09030233137309551,-1.344171156117227,-0.8636353002511896,0.05440581764560193,-0.03169167845044285,-0.06599268404534087,-0.03706798597704619,-0.0955510446219705,-0.6229436688590795
*NNH3 + H2 + H,-0.09030233137309551,-1.344171156117227,-0.8636353002511896,0.05440581764560193,-0.03169167845044285,-0.06599268404534087,-0.03706798597704619,-0.0955510446219705,-0.6229436688590795
*NNH3 + H2 + H,-0.09030233137309551,-1.344171156117227,-0.8636353002511896,0.05440581764560193,-0.03169167845044285,-0.06599268404534087,-0.03706798597704619,-0.0955510446219705,-0.6229436688590795
*NNH3 + H2 + H,-0.09030233137309551,-1.344171156117227,-0.8636353002511896,0.05440581764560193,-0.03169167845044285,-0.06599268404534087,-0.03706798597704619,-0.0955510446219705,-0.6229436688590795
*NNH3 + H2 + H,-0.09030233137309551,-1.344171156117227,-0.8636353002511896,0.05440581764560193,-0.03169167845044285,-0.06599268404534087,-0.03706798597704619,-0.0955510446219705,-0.6229436688590795
*N + H2 + H + NH3,-0.4257321353070438,-0.5698784640990198,-0.44739407050656155,-0.40003452118253335,-0.5562997198430821,-0.4006554433144629,-0.45480459136888385,-0.45823889278108254,-1.0394540914567187
*N + H2 + H + NH3,-0.4257321353070438,-0.5698784640990198,-0.44739407050656155,-0.40003452118253335,-0.5562997198430821,-0.4006554433144629,-0.45480459136888385,-0.45823889278108254,-1.0394540914567187
*N + H2 + H + NH3,-0.4257321353070438,-0.5698784640990198,-0.44739407050656155,-0.40003452118253335,-0.5562997198430821,-0.4006554433144629,-0.45480459136888385,-0.45823889278108254,-1.0394540914567187
*N + H2 + H + NH3,-0.4257321353070438,-0.5698784640990198,-0.44739407050656155,-0.40003452118253335,-0.5562997198430821,-0.4006554433144629,-0.45480459136888385,-0.45823889278108254,-1.0394540914567187
*N + H2 + H + NH3,-0.4257321353070438,-0.5698784640990198,-0.44739407050656155,-0.40003452118253335,-0.5562997198430821,-0.4006554433144629,-0.45480459136888385,-0.45823889278108254,-1.0394540914567187
*NH + H2 + NH3,-1.6055256918189116,-1.7990225293906406,-1.6993774352013133,-1.4394104465609416,-1.4550314736552536,-1.5983846497256309,-1.5481237574131228,-1.6234983369940892,-2.0230609519057907
*NH + H2 + NH3,-1.6055256918189116,-1.7990225293906406,-1.6993774352013133,-1.4394104465609416,-1.4550314736552536,-1.5983846497256309,-1.5481237574131228,-1.6234983369940892,-2.0230609519057907
*NH + H2 + NH3,-1.6055256918189116,-1.7990225293906406,-1.6993774352013133,-1.4394104465609416,-1.4550314736552536,-1.5983846497256309,-1.5481237574131228,-1.6234983369940892,-2.0230609519057907
