steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
* + N2 + 3H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2 + 3H2,-0.7674585890490562,-0.7546062138862908,-0.7302398933679797,-0.8753829678171314,-0.8464195424458012,-0.5228641792200506,-0.7264439590508118,-0.7743784514605068,-0.8750141253112815
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*N2H + 2H2 + H,0.5257200553896837,0.5381785209174268,0.2363810974638909,0.3778649558662437,0.2567424348089844,-0.18628118775086477,-1.3242799529689364,0.2581653941888362,-0.01770946109900251
*NHNH + 2H2,-0.1361020541517064,-0.08979494270170107,-0.12241322477348149,0.41438522253884,0.4033096761559136,0.4373226558091119,-0.11727387009887025,-0.12339301506290212,-0.22610356286168098
*NHNH + 2H2,-0.1361020541517064,-0.08979494270170107,-0.12241322477348149,0.41438522253884,0.4033096761559136,0.4373226558091119,-0.11727387009887025,-0.12339301506290212,-0.22610356286168098
*NHNH + 2H2,-0.1361020541517064,-0.08979494270170107,-0.12241322477348149,0.41438522253884,0.4033096761559136,0.4373226558091119,-0.11727387009887025,-0.12339301506290212,-0.22610356286168098
*NHNH + 2H2,-0.1361020541517064,-0.08979494270170107,-0.12241322477348149,0.41438522253884,0.4033096761559136,0.4373226558091119,-0.11727387009887025,-0.12339301506290212,-0.22610356286168098
*NHNH + 2H2,-0.1361020541517064,-0.08979494270170107,-0.12241322477348149,0.41438522253884,0.4033096761559136,0.4373226558091119,-0.11727387009887025,-0.12339301506290212,-0.22610356286168098
*NHNH2 + H2 + H,-1.0052175537566654,-1.0413557388819754,-1.0538551998906769,-1.2378109531709924,-1.2422766186646186,-1.2665816563530825,-1.0122974981786683,-0.8616217893431894,-0.7742493094992824
*NHNH2 + H2 + H,-1.0052175537566654,-1.0413557388819754,-1.0538551998906769,-1.2378109531709924,-1.2422766186646186,-1.2665816563530825,-1.0122974981786683,-0.8616217893431894,-0.7742493094992824
*NHNH2 + H2 + H,-1.0052175537566654,-1.0413557388819754,-1.0538551998906769,-1.2378109531709924,-1.2422766186646186,-1.2665816563530825,-1.0122974981786683,-0.8616217893431894,-0.7742493094992824
*NHNH2 + H2 + H,-1.0052175537566654,-1.0413557388819754,-1.0538551998906769,-1.2378109531709924,-1.2422766186646186,-1.2665816563530825,-1.0122974981786683,-0.8616217893431894,-0.7742493094992824
*NHNH2 + H2 + H,-1.0052175537566654,-1.0413557388819754,-1.0538551998906769,-1.2378109531709924,-1.2422766186646186,-1.2665816563530825,-1.0122974981786683,-0.8616217893431894,-0.7742493094992824
*N2H4 + H2,-1.5850893993629143,-1.5878060257527977,-1.608993660658598,-1.2160787900793366,-1.273991443158593,-1.0594501830055378,-1.5967957102693617,-1.424743912590202,-1.6591193965869024
*N2H4 + H2,-1.5850893993629143,-1.5878060257527977,-1.608993660658598,-1.2160787900793366,-1.273991443158593,-1.0594501830055378,-1.5967957102693617,-1.424743912590202,-1.6591193965869024
*N2H4 + H2,-1.5850893993629143,-1.5878060257527977,-1.608993660658598,-1.2160787900793366,-1.273991443158593,-1.0594501830055378,-1.5967957102693617,-1.424743912590202,-1.6591193965869024
*N2H4 + H2,-1.5850893993629143,-1.5878060257527977,-1.608993660658598,-1.2160787900793366,-1.273991443158593,-1.0594501830055378,-1.5967957102693617,-1.424743912590202,-1.6591193965869024
*N2H4 + H2,-1.5850893993629143,-1.5878060257527977,-1.608993660658598,-1.2160787900793366,-1.273991443158593,-1.0594501830055378,-1.5967957102693617,-1.424743912590202,-1.6591193965869024
*NH2NH3 + H,-2.7946999146370217,-2.8132320494623855,-2.8309079637983814,-2.5391706604277715,-3.0596334016299807,-2.79591382102808,-3.1167734888149425,-2.651533459138591,-2.601714836608153
*NH2NH3 + H,-2.7946999146370217,-2.8132320494623855,-2.8309079637983814,-2.5391706604277715,-3.0596334016299807,-2.79591382102808,-3.1167734888149425,-2.651533459138591,-2.601714836608153
*NH2NH3 + H,-2.7946999146370217,-2.8132320494623855,-2.8309079637983814,-2.5391706604277715,-3.0596334016299807,-2.79591382102808,-3.1167734888149425,-2.651533459138591,-2.601714836608153
*NH2NH3 + H,-2.7946999146370217,-2.8132320494623855,-2.8309079637983814,-2.5391706604277715,-3.0596334016299807,-2.79591382102808,-3.1167734888149425,-2.651533459138591,-2.601714836608153
