system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,electroneg_diff,dopant_charge
1_Ag_subCu,ad_site_1,-323786.3164802258,-0.7475228517432697,-1.0256011561723426,-1.1510365602443926,-0.7128122410504147,-1.828698270546738,-0.6378159380401485,-0.88477681792574,-0.4963640638743527,-0.675215890398249,-0.7290814302396029,-0.4615522933891043,-0.5108758274582215,0.024499999999999966,-0.1198000000000014
2_Au_subCu,ad_site_1,-321329.6146741825,-0.8522990093333647,-1.0692874293890782,-1.2408663173555396,-0.8618480502045713,-1.988894582958892,-0.7999809822067618,-1.0043504656641744,-0.6014703992404975,-0.6414552203495987,-0.8240677205030806,-0.5318126248894259,-0.49579658079892397,0.6345000000000001,-0.4458000000000002
6_Pd_subNi,ad_site_1,-323291.3182206133,0.08046878926688805,-0.8189366816077381,-0.14627881458727643,-0.1668797648162581,-0.6950655892724171,-0.1125161336385645,-0.3212251006043516,-0.2604787453892641,-0.10849262226838619,-0.7266279381001368,0.010462458536494523,-0.1930682632373646,0.2945000000000002,-0.3223999999999982
7_Pt_subNi,ad_site_1,-323455.222624848,0.1557758545386605,-0.6527457436895929,0.07570832897908986,-0.18807091400958598,-0.455633488309104,-0.0744449453195557,-0.3194098399253562,-0.37084233562927693,0.09188187948893756,-0.6511780672590248,0.05263219779590145,-0.23199754022061825,0.37449999999999983,-0.5869
9_Fe_subNi,ad_site_1,-325066.99482174136,0.3374423733330332,-1.3060170824755915,1.0686115812277421,0.3847728404798545,1.2689043181599118,1.1376669820165262,0.7945119954529218,0.13850319845369086,0.6782518753316253,-1.7520507303997874,0.23530570458387956,-0.016930848185438663,-0.0754999999999999,0.3732000000000006
11_Pd_subCu,ad_site_1,-322467.9781963675,-0.010160810488741845,-0.49562098557362333,-0.2551923171267845,-0.15668940410250798,-0.897774311597459,-0.19479591422714293,-0.45446080178953707,-0.25086571829160675,-0.2034452113439329,-0.3593033245415427,-0.07233768573496491,-0.1451703851344064,0.2945000000000002,-0.3326999999999991
13_Ag_subNi,ad_site_1,-324609.7110412068,-0.744184201117605,-1.3855754936812446,-1.1319654436665587,-0.8090604385943152,-1.8541215230361558,-0.6092229320784099,-0.8276534276665188,-0.567411300376989,-0.6227883060928434,-1.134053221263457,-0.45008455571951345,-0.5862553037586622,0.024499999999999966,-0.1099999999999994
14_Au_subNi,ad_site_1,-322152.9672299565,-0.782682316028513,-1.3821616469649598,-1.1370086005772464,-0.873009730305057,0.9270989942015149,-0.7181707100826316,-0.9123048905166797,-0.6594884870573878,-0.519805577583611,-1.1674279165454209,-0.4633190633612685,-0.548519391217269,0.6345000000000001,-0.4376999999999995
