system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,electroneg_diff,dopant_charge
1_Ag_subCu,ad_site_1,-323786.3164802258,-1.4222748461179435,-1.5698897109832615,-2.079250083421357,-1.362908985465765,-2.865145387884695,-1.3190617798245512,-1.2978882363531739,-0.5916422209702432,-1.1568145435885526,-1.1893162737833336,-0.784369679109659,-0.6144908620626666,0.024499999999999966,-0.1198000000000014
2_Au_subCu,ad_site_1,-321329.6146741825,-1.5270510037080385,-1.613575984199997,-2.169079840532504,-1.5119447946199216,-3.025341700296849,-1.4812268239911646,-1.4174618840916082,-0.696748556336388,-1.1230538735399023,-1.2843025640468113,-0.8546300106099807,-0.5994116154033691,0.6345000000000001,-0.4458000000000002
6_Pd_subNi,ad_site_1,-323291.3182206133,-0.5942832051077858,-1.363225236418657,-1.0744923377642408,-0.8169765092316084,-1.7315127066103742,-0.7937619754229672,-0.7343365190317854,-0.35575690248515457,-0.5900912754586898,-1.1868627816438675,-0.3123549271840602,-0.2966832978418097,0.2945000000000002,-0.3223999999999982
7_Pt_subNi,ad_site_1,-323455.222624848,-0.5189761398360133,-1.1970342985005118,-0.8525051941978745,-0.8381676584249362,-1.492080605647061,-0.7556907871039584,-0.73252125835279,-0.4661204927251674,-0.38971677370136604,-1.1114129108027555,-0.2701851879246533,-0.33561257482506335,0.37449999999999983,-0.5869
9_Fe_subNi,ad_site_1,-325066.99482174136,-0.33730962104164064,-1.8503056372865103,0.14039805805077776,-0.26532390393549576,0.23245720082195476,0.45642114023212343,0.381400577025488,0.043225041357800364,0.19665322214132175,-2.212285573943518,-0.08751168113667518,-0.12054588278988376,-0.0754999999999999,0.3732000000000006
11_Pd_subCu,ad_site_1,-322467.9781963675,-0.6849128048634157,-1.0399095403845422,-1.1834058403037488,-0.8067861485178582,-1.934221428935416,-0.8760417560115457,-0.8675722202169709,-0.34614387538749725,-0.6850438645342365,-0.8195381680852734,-0.39515507145551965,-0.2487854197388515,0.2945000000000002,-0.3326999999999991
13_Ag_subNi,ad_site_1,-324609.7110412068,-1.4189361954922788,-1.9298640484921634,-2.060178966843523,-1.4591571830096655,-2.890568640374113,-1.2904687738628127,-1.2407648460939527,-0.6626894574728794,-1.104386959283147,-1.5942880648071878,-0.7729019414400682,-0.6898703383631073,0.024499999999999966,-0.1099999999999994
14_Au_subNi,ad_site_1,-322152.9672299565,-1.4574343104031868,-1.9264502017758787,-2.0652221237542108,-1.5231064747204073,-0.10934812313644215,-1.3994165518670343,-1.3254163089441136,-0.7547666441532783,-1.0014042307739146,-1.6276627600891516,-0.7861364490818232,-0.6521344258217141,0.6345000000000001,-0.4376999999999995
