system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3
1_Ag_subCu,ad_site_1,-323786.3164802258,-324335.18010129477,-324060.53521007864,-324349.726881138,-324365.22979340627,-324365.08287813986,-324380.0093277322,-324381.01228486496,-324398.0306619752,-324092.5204215514,-324077.3533947299,-324109.99190694897,-324413.19214321784
2_Au_subCu,ad_site_1,-321329.6146741825,-321878.46668017627,-321603.78243114153,-321892.998784397,-321908.5048434863,-321908.26645059575,-321923.27515682933,-321924.29832449526,-321941.34599155135,-321635.79854979547,-321620.60162946547,-321653.3324157308,-321956.53793313255
6_Pd_subNi,ad_site_1,-323291.3182206133,-323840.1659744219,-323565.11697014683,-323854.7274669958,-323870.3116570933,-323870.155894722,-323884.9915347792,-323885.88672759896,-323903.05772678467,-323597.4835886035,-323581.9489735049,-323614.9862417001,-323918.2289467916
7_Pt_subNi,ad_site_1,-323455.222624848,-324004.0366600594,-323729.1141061536,-324018.56180891505,-324034.1891315091,-324033.8990388061,-324048.84549907874,-324049.7174555765,-324066.9241793068,-323761.36948827264,-323745.8936890921,-323778.91199735383,-324082.13696387544
9_Fe_subNi,ad_site_1,-325066.99482174136,-325615.86760540976,-325341.1379218681,-325630.41678494134,-325645.9323066889,-325645.75252846093,-325660.6570458299,-325661.6460492343,-325678.7458962387,-325373.220765142,-325358.03445152356,-325390.67893308064,-325693.8828468801
11_Pd_subCu,ad_site_1,-322467.9781963675,-323016.8219512678,-322742.12437831407,-323031.3710321866,-323046.87942210987,-323046.7136822922,-323061.6291339586,-323062.63174920995,-323079.6932388137,-322774.14641595,-322758.94252365315,-322791.65921182133,-323094.8835589419
13_Ag_subNi,ad_site_1,-324609.7110412068,-325158.54855565366,-324882.07174234977,-325173.1201674237,-325188.687086963,-325188.5126579236,-325203.4131493934,-325204.3142523214,-325221.48124267487,-324915.8812475023,-324898.89769523905,-324933.34520664485,-325236.613496713
14_Au_subNi,ad_site_1,-322152.9672299565,-322701.7900331516,-322425.1472532624,-322716.325919505,-322731.94943807623,-322731.6399675731,-322746.6192534665,-322747.4805044984,-322764.67981953244,-322459.1260443675,-322443.0668619861,-322476.64860341727,-322779.875272075
