system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,electroneg_diff,dopant_charge
1_Ag_subCu,ad_site_1,-323786.3164802258,-0.7108584591769613,0.9661852769786492,-1.992033250106033,-1.1030217588995583,-2.7699104356579483,-1.2077829651534557,-1.3095256521482952,-0.6104556918726303,-1.0528726211050525,-0.5102955387555994,-0.7159477408276871,-0.6518994376529008,0.024499999999999966,-0.1198000000000014
2_Au_subCu,ad_site_1,-321329.6146741825,-0.8156346167670563,0.9224990037619136,-2.08186300721718,-1.252057568053715,-2.930106748070102,-1.369948009320069,-1.4290992998867296,-0.715562027238775,-1.0191119510564022,-0.6052818290190771,-0.7862080723280087,-0.6368201909936033,0.6345000000000001,-0.4458000000000002
6_Pd_subNi,ad_site_1,-323291.3182206133,0.11713318183319643,1.1728497515432537,-0.9872755044489168,-0.5570892826654017,-1.6362777543836273,-0.6824831607518718,-0.7459739348269068,-0.3745703733875416,-0.4861493529751897,-0.5078420466161333,-0.24393298890208825,-0.33409187343204394,0.2945000000000002,-0.3223999999999982
7_Pt_subNi,ad_site_1,-323455.222624848,0.19244024710496888,1.3390406894613989,-0.7652883608825505,-0.5782804318587296,-1.3968456534203142,-0.644411972432863,-0.7441586741479114,-0.4849339636275545,-0.28577485121786594,-0.4323921757750213,-0.20176324964268133,-0.3730211504152976,0.37449999999999983,-0.5869
9_Fe_subNi,ad_site_1,-325066.99482174136,0.37410676589934155,0.6857693506754003,0.2276148913661018,-0.0054366773692891,0.3276921530487016,0.5676999549032189,0.3697631612303667,0.02441157045541331,0.30059514462482184,-1.533264838915784,-0.019089742854703218,-0.157954458380118,-0.0754999999999999,0.3732000000000006
11_Pd_subCu,ad_site_1,-322467.9781963675,0.026503582077566534,1.4961654475773685,-1.0961890069884248,-0.5468989219516516,-1.8389864767086692,-0.7647629413404502,-0.8792096360120922,-0.3649573462898843,-0.5811019420507364,-0.14051743305753917,-0.3267331331735477,-0.28619399532908574,0.2945000000000002,-0.3326999999999991
13_Ag_subNi,ad_site_1,-324609.7110412068,-0.7075198085512966,0.6062109394697472,-1.972962133528199,-1.1992699564434588,-2.795333688147366,-1.1791899591917172,-1.252402261889074,-0.6815029283752665,-1.000445036799647,-0.9152673297794536,-0.7044800031580962,-0.7272789139533415,0.024499999999999966,-0.1099999999999994
14_Au_subNi,ad_site_1,-322152.9672299565,-0.7460179234622046,0.609624786186032,-1.9780052904388867,-1.2632192481542006,-0.014113170909695327,-1.2881377371959388,-1.337053724739235,-0.7735801150556654,-0.8974623082904145,-0.9486420250614174,-0.7177145107998513,-0.6895430014119484,0.6345000000000001,-0.4376999999999995
