0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,electroneg_diff,dopant_charge,system
-1.408936939202249,-1.4520506816916168,-2.162173708959017,-1.2439849706715904,-3.141560758347623,-1.5072253310936503,-1.4843596298596822,-0.6732626908924431,-1.0282445445191115,-1.0772707450087182,-0.9577154050930403,-0.8139125074376352,0.024499999999999966,-0.1198000000000014,Ag@Cu
-1.5020980215631425,-1.444764061132446,-2.2257127683842555,-1.3698769031907432,-3.1871355699258856,-1.6370255157235079,-1.5917789512313902,-0.7955046456772834,-0.974418161844369,-1.1222978141740896,-1.0702905617654324,-0.8464292187709361,0.6345000000000001,-0.4458000000000002,Au@Cu
-0.5650780377909541,-0.8254058878519572,-1.1562614336726256,-0.7781757939956151,-2.0792042717221193,-0.9623921862221323,-0.7935102590708993,-0.46270179440034553,-0.4229479409987107,-0.668655640387442,-0.4782950168591924,-0.5311681295279413,0.2945000000000002,-0.3223999999999982,Pd@Ni
-0.45605237531708553,-0.7519467219826765,-0.8642119746073149,-0.772437124280259,-1.6785120201529935,-0.8738810627255589,-0.7180187412304804,-0.5351136720273644,-0.2040688736597076,-0.633517122012563,-0.45747669658157974,-0.5737102556158789,0.37449999999999983,-0.5869,Pt@Ni
-0.33313431352144107,-1.6568368819425814,0.04591214470565319,-0.1705716562573798,-0.03526697517372668,0.2988810067763552,0.23950632970081642,-0.07528817653656006,0.3032211461686529,-2.102955323352944,-0.26954202324850485,-0.3323296749149449,-0.0754999999999999,0.3732000000000006,Fe@Ni
-0.6517087292158976,-0.8495226048398763,-1.2487643727799878,-0.6757746956427582,-2.1797248100629076,-1.022295392001979,-1.0117918170290068,-0.42862504214281216,-0.5207521223346703,-0.6349054208840244,-0.5740895281196572,-0.4779066474875435,0.2945000000000002,-0.3326999999999991,Pd@Cu
-1.3794916664483026,0.046003690629731864,-2.1418278971104883,-1.4029657439677976,-3.202202813641634,-1.4878930053673685,-1.3346427150536329,-0.8003296460956335,-0.942081930115819,0.3680179357761517,-0.904986382345669,-0.9160844979342073,0.024499999999999966,-0.1099999999999994,Ag@Ni
-1.4032785295858048,0.23009537445614114,-2.096434385573957,-1.4730773991905153,-0.2921031961450353,-1.5467561067198403,-1.329357605194673,-0.8347949406015687,-0.8277073170756921,-0.5783347568358295,-0.965428912662901,-0.8839351976639591,0.6345000000000001,-0.4376999999999995,Au@Ni
