system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,electroneg_diff,dopant_charge
1_Ag_subCu,ad_site_1,-323786.3164802258,-0.7108150420244783,-0.47860031796153635,-1.0825762878521346,-0.6965826797531918,-1.7901426933240145,-0.5893426897819154,-0.8033190409769304,-0.509754616767168,-0.5804736877325922,-0.5003965782234445,-0.4248975921655074,-0.5444728249567561,0.024499999999999966,-0.1198000000000014
2_Au_subCu,ad_site_1,-321329.6146741825,-0.8155911996145733,-0.5222865911782719,-1.1724060449632816,-0.8456184889073484,-1.9503390057361685,-0.7515077339485288,-0.9228926887153648,-0.6148609521333128,-0.5467130176839419,-0.5953828684869222,-0.495157923665829,-0.5293935782974586,0.6345000000000001,-0.4458000000000002
6_Pd_subNi,ad_site_1,-323291.3182206133,0.11717659898567945,-0.2719358433969319,-0.07781854219501838,-0.15065020351903513,-0.6565100120496936,-0.06404288538033143,-0.239767323655542,-0.2738692982820794,-0.01375041960272938,-0.4979430860839784,0.047117159760091454,-0.2266652607358992,0.2945000000000002,-0.3223999999999982
7_Pt_subNi,ad_site_1,-323455.222624848,0.1924836642574519,-0.10574490547878668,0.1441686013713479,-0.171841352712363,-0.4170779110863805,-0.02597169706132263,-0.23795206297654659,-0.38423288852209225,0.18662408215459436,-0.4224932152428664,0.08928689901949838,-0.26559453771915287,0.37449999999999983,-0.5869
9_Fe_subNi,ad_site_1,-325066.99482174136,0.37415018305182457,-0.7590162442647852,1.1370718536200002,0.40100240177707747,1.3074598953826353,1.1861402302747592,0.8759697724017315,0.12511264556087554,0.7729940779972821,-1.523365878383629,0.2719604058074765,-0.05052784568397328,-0.0754999999999999,0.3732000000000006
11_Pd_subCu,ad_site_1,-322467.9781963675,0.02654699923004955,0.05137985263718292,-0.18673204473452643,-0.140459842805285,-0.8592187343747355,-0.14632266596890986,-0.37300302484072745,-0.2642562711844221,-0.10870300867827609,-0.13061847252538428,-0.03568298451136798,-0.178767382632941,0.2945000000000002,-0.3326999999999991
13_Ag_subNi,ad_site_1,-324609.7110412068,-0.7074763913988136,-0.8385746554704383,-1.0635051712743007,-0.7928308772970922,-1.8155659458134323,-0.5607496838201769,-0.7461956507177092,-0.5808018532698043,-0.5280461034271866,-0.9053683692472987,-0.4134298544959165,-0.6198523012571968,0.024499999999999966,-0.1099999999999994
14_Au_subNi,ad_site_1,-322152.9672299565,-0.7459745063097216,-0.8351608087541535,-1.0685483281849883,-0.856780169007834,0.9656545714242384,-0.6696974618243985,-0.8308471135678701,-0.6728790399502032,-0.4250633749179542,-0.9387430645292625,-0.42666436213767156,-0.5821163887158036,0.6345000000000001,-0.4376999999999995
