system,hollow_bond_length,top_bond_length,br_bond_length,hollow_adsE,top_adsE,br_adsE
0_CuNi,1.207,1.1256666666666666,1.1722727272727271,-0.4078,-0.8087333333333332,-0.4059181818181818
1_Ag_subCu,,1.126,1.1690000000000003,,-0.8073,-0.3871363636363636
2_Au_subCu,1.2009999999999998,1.1250833333333332,1.1644999999999999,-0.37070000000000003,-0.7819416666666665,-0.3516
6_Pd_subNi,,1.1257142857142854,1.1665,,-0.8076357142857141,-0.420875
7_Pt_subNi,,1.1250833333333332,1.1661666666666666,,-0.81065,-0.4411
9_Fe_subNi,1.204,1.1256,1.18425,-0.3842,-0.7591800000000001,-0.20101249999999998
11_Pd_subCu,1.2036666666666667,1.1253999999999997,1.1675555555555555,-0.3454,-0.7868,-0.3972333333333333
13_Ag_subNi,1.203,1.1259166666666662,1.1666,-0.3904,-0.8334833333333332,-0.42486000000000007
14_Au_subNi,1.203,1.1280714285714286,1.1656666666666666,-0.4083,-0.79215,-0.43616666666666665
