system,dopant_charge,Nmin,Nmax,electroneg_diff,N2_adsorption_energy,dopant_charge_diff,nearest_TM,nearest_TM_charge,nearest_TM_dis,nearest_TM_ind,second_nearest_TM,second_nearest_TM_charge,second_nearest_TM_dis,second_nearest_TM_ind,third_nearest_TM,third_nearest_TM_charge,third_nearest_TM_dis,third_nearest_TM_ind,dopant_closest_atoms_inds,dopant_N2_dis,dopant_N2_dis_manual,surf_charge_transfer,neg_charge_transfer,pos_charge_transfer,dopant_charge_N2_dis,dopant_NN_0_atomNum,dopant_NN_0_before,dopant_NN_0_after,dopant_NN_0_diff,dopant_NN_1_atomNum,dopant_NN_1_before,dopant_NN_1_after,dopant_NN_1_diff,dopant_NN_2_atomNum,dopant_NN_2_before,dopant_NN_2_after,dopant_NN_2_diff,dopant_NN_4_atomNum,dopant_NN_4_before,dopant_NN_4_after,dopant_NN_4_diff,dopant_NN_5_atomNum,dopant_NN_5_before,dopant_NN_5_after,dopant_NN_5_diff,dopant_NN_6_atomNum,dopant_NN_6_before,dopant_NN_6_after,dopant_NN_6_diff,dopant_NN_7_atomNum,dopant_NN_7_before,dopant_NN_7_after,dopant_NN_7_diff,dopant_NN_8_atomNum,dopant_NN_8_before,dopant_NN_8_after,dopant_NN_8_diff,dopant_NN_9_atomNum,dopant_NN_9_before,dopant_NN_9_after,dopant_NN_9_diff,no_dopant_NN_0_atomNum,no_dopant_NN_0_before,no_dopant_NN_0_after,no_dopant_NN_0_diff,no_dopant_NN_1_atomNum,no_dopant_NN_1_before,no_dopant_NN_1_after,no_dopant_NN_1_diff,no_dopant_NN_2_atomNum,no_dopant_NN_2_before,no_dopant_NN_2_after,no_dopant_NN_2_diff,no_dopant_NN_4_atomNum,no_dopant_NN_4_before,no_dopant_NN_4_after,no_dopant_NN_4_diff,no_dopant_NN_5_atomNum,no_dopant_NN_5_before,no_dopant_NN_5_after,no_dopant_NN_5_diff,no_dopant_NN_6_atomNum,no_dopant_NN_6_before,no_dopant_NN_6_after,no_dopant_NN_6_diff,no_dopant_NN_7_atomNum,no_dopant_NN_7_before,no_dopant_NN_7_after,no_dopant_NN_7_diff,no_dopant_NN_8_atomNum,no_dopant_NN_8_before,no_dopant_NN_8_after,no_dopant_NN_8_diff,no_dopant_NN_9_atomNum,no_dopant_NN_9_before,no_dopant_NN_9_after,no_dopant_NN_9_diff
CuNi,-0.02,-0.2180999999999997,-0.2000999999999999,0.0,-0.4618,0.0387000000000021,Ni,0.1287999999999982,3.503522972666227,59,Ni,-0.0015999999999998,5.604726155665412,58,Cu,0.0123999999999995,6.582464769370209,30,[-1],16.113845956583425,2.98,0.4194000000000064,-0.1270000000000024,0.5464000000000089,-0.0012411686231758,55,-0.0466000000000015,-0.030899999999999,0.0157000000000025,27,-0.0227000000000003,-0.0216999999999991,0.0010000000000012,59,-0.0499000000000009,0.1287999999999982,0.178699999999999,56,-0.0360000000000013,0.1380000000000016,0.1740000000000029,62,-0.0417999999999985,-0.0411999999999999,0.0005999999999985,63,-0.0477999999999987,-0.0499000000000009,-0.0021000000000022,19,0.0382999999999995,0.0278999999999989,-0.0104000000000006,24,0.0396999999999998,0.0335999999999998,-0.0061,23,0.0474999999999994,0.0289999999999999,-0.0184999999999994,55,-0.0466000000000015,-0.0466000000000015,0.0,27,-0.0227000000000003,-0.0227000000000003,0.0,59,-0.0499000000000009,-0.0499000000000009,0.0,56,-0.0360000000000013,-0.0360000000000013,0.0,62,-0.0417999999999985,-0.0417999999999985,0.0,63,-0.0477999999999987,-0.0477999999999987,0.0,19,0.0382999999999995,0.0382999999999995,0.0,24,0.0396999999999998,0.0396999999999998,0.0,23,0.0474999999999994,0.0474999999999994,0.0
Ag@Cu,-0.1198000000000014,-0.2565999999999997,-0.1726000000000001,0.0244999999999999,-0.3963,0.0426000000000002,Ni,0.1377999999999986,3.5164925209646065,55,Ni,0.0047999999999994,5.400462544078979,54,Cu,0.0093999999999994,6.357862991603391,59,"[63, 47, 62, 46, 50, 42, 58, 61, 43]",15.73197684486918,3.0,0.4298000000000212,-0.1131999999999845,0.543000000000006,-0.0076150633312858,48,-0.0196000000000005,-0.0230999999999994,-0.0034999999999989,52,-0.0044000000000004,0.0002999999999993,0.0046999999999997,55,-0.0363000000000006,0.1377999999999986,0.1740999999999992,50,-0.0195000000000007,0.1441000000000016,0.1636000000000023,62,-0.0353999999999992,-0.0288000000000003,0.0065999999999989,63,-0.0272000000000005,-0.0256000000000007,0.0015999999999998,35,0.0485000000000006,0.0455000000000005,-0.0030000000000001,47,0.0447999999999986,0.0603000000000015,0.0155000000000029,46,0.0527000000000015,0.0421000000000013,-0.0106000000000002,48,-0.0466000000000015,-0.0196000000000005,0.027000000000001002,52,-0.0227000000000003,-0.0044000000000004,0.0182999999999999,55,-0.0499000000000009,-0.0363000000000006,0.0136000000000003,50,-0.0360000000000013,-0.0195000000000007,0.0165000000000006,62,-0.0417999999999985,-0.0353999999999992,0.006399999999999295,63,-0.0477999999999987,-0.0272000000000005,0.020599999999998196,35,0.0382999999999995,0.0485000000000006,0.010200000000001097,47,0.0396999999999998,0.0447999999999986,0.0050999999999988,46,0.0474999999999994,0.0527000000000015,0.005200000000002106
Au@Cu,-0.4458000000000002,-0.3453999999999997,-0.2996999999999996,0.6345000000000001,-0.389,0.0250000000000004,Ni,0.1959000000000017,3.550856182669188,62,Ni,0.1715000000000017,3.97848838128252,61,Cu,0.0378000000000007,5.385911738043986,57,"[48, 46, 63, 47, 62, 65, 64, 42, 61]",6.298480472701334,3.33,0.6448000000000027,-0.1764000000000077,0.8212000000000104,-0.0707789762835928,48,0.0127999999999985,0.0338999999999991,0.0211000000000005,52,0.0197000000000002,0.0288000000000003,0.0091000000000001,55,0.0111999999999987,0.0036999999999984,-0.0075000000000003,50,0.0138999999999995,0.1950000000000002,0.1811000000000007,62,0.0056000000000011,0.1959000000000017,0.1903000000000006,63,-0.0088000000000008,-0.0043000000000006,0.0045000000000002,35,0.0644999999999988,0.0691999999999986,0.0046999999999998,47,0.0791000000000003,0.0812999999999988,0.0021999999999985,46,0.0822000000000002,0.0682000000000009,-0.0139999999999993,48,-0.0466000000000015,0.0127999999999985,0.0594,52,-0.0227000000000003,0.0197000000000002,0.0424000000000005,55,-0.0499000000000009,0.0111999999999987,0.0610999999999996,50,-0.0360000000000013,0.0138999999999995,0.049900000000000805,62,-0.0417999999999985,0.0056000000000011,0.047399999999999595,63,-0.0477999999999987,-0.0088000000000008,0.0389999999999979,35,0.0382999999999995,0.0644999999999988,0.026199999999999293,47,0.0396999999999998,0.0791000000000003,0.0394000000000005,46,0.0474999999999994,0.0822000000000002,0.03470000000000081
Pd@Ni,-0.3223999999999982,-0.2438000000000002,-0.1756999999999999,0.2945000000000002,-0.435,0.0088999999999969,Ni,0.1504000000000012,3.5743030579401065,62,Ni,0.1240999999999985,4.814945939468064,63,Ni,0.0011000000000009,5.605310463301743,58,"[55, 34, 49, 54, 51, 33, 35, 17, 53]",13.657487766240171,3.87,0.4195000000000099,-0.1337999999999972,0.5533000000000071,-0.0236060983921901,51,0.0182999999999999,0.0564999999999997,0.0381999999999998,55,-0.0145000000000017,-0.0089000000000005,0.0056000000000012,54,-0.0054000000000016,-0.0034999999999989,0.0019000000000026,49,0.0263999999999988,0.0306999999999995,0.0043000000000006,61,-0.0060000000000002,-0.0040000000000013,0.0019999999999988,62,-0.0180000000000006,0.1504000000000012,0.1684000000000018,34,0.0320999999999997,0.0339999999999989,0.0018999999999992,46,0.0742000000000011,0.0624000000000002,-0.0118000000000009,45,0.0592000000000005,0.0625,0.0032999999999994,51,-0.0117000000000011,0.0182999999999999,0.030000000000000998,55,-0.0499000000000009,-0.0145000000000017,0.0353999999999992,54,-0.0315000000000011,-0.0054000000000016,0.0260999999999995,49,0.0066999999999985,0.0263999999999988,0.0197000000000003,61,-0.0359000000000016,-0.0060000000000002,0.029900000000001398,62,-0.0417999999999985,-0.0180000000000006,0.0237999999999979,34,0.0030999999999998,0.0320999999999997,0.028999999999999897,46,0.0474999999999994,0.0742000000000011,0.0267000000000017,45,0.0339999999999989,0.0592000000000005,0.025200000000001603
Pt@Ni,-0.5869,-0.2285000000000003,-0.1954000000000002,0.3744999999999998,-0.4445,0.0059000000000004,Ni,0.126100000000001,3.569350592194609,63,Ni,0.1414000000000008,4.872060785745598,58,Ni,0.0582999999999991,5.519481899598912,62,"[55, 34, 54, 51, 33, 35, 17, 18, 53]",11.731284731967763,4.85,0.4241999999999953,-0.125499999999999,0.5496999999999943,-0.0500286211961676,51,0.0545000000000008,0.0616999999999983,0.0071999999999975,55,0.0193000000000012,0.0204999999999984,0.0011999999999971,54,0.0243999999999999,0.0334000000000003,0.0090000000000003,49,0.0608000000000004,0.0607000000000006,-9.999999999980164e-05,61,0.0293999999999989,0.0218999999999987,-0.0075000000000002,62,0.0139999999999993,0.0582999999999991,0.0442999999999998,34,0.0583999999999989,0.0557000000000016,-0.0026999999999972,46,0.0864000000000011,0.0839999999999996,-0.0024000000000014,45,0.0760000000000005,0.0829999999999984,0.0069999999999978,51,-0.0117000000000011,0.0545000000000008,0.0662000000000019,55,-0.0499000000000009,0.0193000000000012,0.06920000000000211,54,-0.0315000000000011,0.0243999999999999,0.055900000000001,49,0.0066999999999985,0.0608000000000004,0.054100000000001904,61,-0.0359000000000016,0.0293999999999989,0.0653000000000005,62,-0.0417999999999985,0.0139999999999993,0.055799999999997796,34,0.0030999999999998,0.0583999999999989,0.0552999999999991,46,0.0474999999999994,0.0864000000000011,0.038900000000001704,45,0.0339999999999989,0.0760000000000005,0.0420000000000016
Fe@Ni,0.3732000000000006,-0.2253999999999996,-0.2027000000000001,-0.0754999999999999,-0.4735,0.0091999999999999,Ni,0.1285999999999987,3.568734836044842,63,Ni,0.1326999999999998,4.871771596657628,58,Ni,-0.0481000000000015,5.57825985231954,62,"[34, 55, 54, 49, 51, 33, 35, 17, 18]",11.719963278952712,4.93,0.4279000000000081,-0.1321999999999973,0.5601000000000055,0.0318431031836261,51,-0.0469000000000008,-0.0352999999999994,0.0116000000000014,55,-0.0831000000000017,-0.0858999999999987,-0.0027999999999969,54,-0.0742000000000011,-0.0714000000000005,0.0028000000000005,49,-0.039200000000001,-0.0330000000000012,0.0061999999999997,61,-0.0809999999999995,-0.0775000000000005,0.003499999999999,62,-0.0797999999999987,-0.0481000000000015,0.0316999999999972,34,-0.0321999999999995,-0.0375000000000014,-0.0053000000000019,46,-0.0035999999999987,0.0131000000000014,0.0167000000000001,45,-0.0077999999999995,-0.0070000000000014,0.0007999999999981,51,-0.0117000000000011,-0.0469000000000008,-0.035199999999999704,55,-0.0499000000000009,-0.0831000000000017,-0.0332000000000008,54,-0.0315000000000011,-0.0742000000000011,-0.0427,49,0.0066999999999985,-0.039200000000001,-0.0458999999999995,61,-0.0359000000000016,-0.0809999999999995,-0.045099999999997906,62,-0.0417999999999985,-0.0797999999999987,-0.03800000000000021,34,0.0030999999999998,-0.0321999999999995,-0.0352999999999993,46,0.0474999999999994,-0.0035999999999987,-0.0510999999999981,45,0.0339999999999989,-0.0077999999999995,-0.0417999999999984
Pd@Cu,-0.3326999999999991,-0.2241999999999997,-0.2037000000000004,0.2945000000000002,-0.4099,0.0551999999999993,Ni,0.1559999999999988,3.5901103451008294,63,Cu,-0.0012000000000007,6.484375901349334,59,Ni,-0.0050999999999987,6.780659600658332,62,"[50, 55, 35, 34, 18, 19, 54, 39, 56]",16.00172440848173,2.92,0.4279000000000188,-0.1032999999999827,0.5312000000000016,-0.0207915091840758,48,-0.0031999999999996,0.1600999999999999,0.1632999999999995,52,0.0067999999999983,-0.0002999999999993,-0.0070999999999975,55,-0.0137,-0.004999999999999,0.008700000000001,50,0.0062999999999995,0.0171999999999989,0.0108999999999994,62,-0.0046999999999997,-0.0050999999999987,-0.000399999999999,63,-0.0019999999999988,0.1559999999999988,0.1579999999999976,35,0.0701,0.0700000000000002,-9.99999999997947e-05,47,0.0548999999999999,0.0584999999999986,0.0035999999999987,46,0.0729000000000006,0.0677999999999983,-0.0051000000000022,48,-0.0466000000000015,-0.0031999999999996,0.0434000000000019,52,-0.0227000000000003,0.0067999999999983,0.0294999999999986,55,-0.0499000000000009,-0.0137,0.0362000000000009,50,-0.0360000000000013,0.0062999999999995,0.0423000000000008,62,-0.0417999999999985,-0.0046999999999997,0.0370999999999988,63,-0.0477999999999987,-0.0019999999999988,0.045799999999999896,35,0.0382999999999995,0.0701,0.031800000000000495,47,0.0396999999999998,0.0548999999999999,0.015200000000000102,46,0.0474999999999994,0.0729000000000006,0.025400000000001206
Ag@Ni,-0.1099999999999994,-0.2599999999999998,-0.1642000000000001,0.0244999999999999,-0.4455,0.0109999999999992,Ni,0.1399000000000008,3.516499016066973,62,Ni,0.1275000000000012,4.633829756259932,63,Ni,0.0048999999999992,5.494110127218057,58,"[55, 51, 54, 34, 33, 35, 53, 59, 17]",13.524115783111297,3.84,0.4237999999999957,-0.144000000000002,0.5677999999999978,-0.0081336186235085,51,0.0031999999999996,0.0450000000000017,0.0418000000000021,55,-0.0402999999999984,-0.0339999999999989,0.0062999999999995,54,-0.0299000000000013,-0.0299000000000013,0.0,49,0.0132000000000012,0.0111999999999987,-0.0020000000000024,61,-0.0267000000000017,-0.0225000000000008,0.0042000000000009,62,-0.0410000000000003,0.1399000000000008,0.1809000000000011,34,0.0005999999999986,0.0112999999999985,0.0106999999999999,46,0.0554999999999985,0.0460999999999991,-0.0093999999999994,45,0.0376000000000011,0.0321999999999995,-0.0054000000000015,51,-0.0117000000000011,0.0031999999999996,0.014900000000000701,55,-0.0499000000000009,-0.0402999999999984,0.009600000000002502,54,-0.0315000000000011,-0.0299000000000013,0.001599999999999796,49,0.0066999999999985,0.0132000000000012,0.006500000000002701,61,-0.0359000000000016,-0.0267000000000017,0.009199999999999896,62,-0.0417999999999985,-0.0410000000000003,0.000799999999998198,34,0.0030999999999998,0.0005999999999986,-0.0025000000000012,46,0.0474999999999994,0.0554999999999985,0.007999999999999105,45,0.0339999999999989,0.0376000000000011,0.0036000000000021987
Au@Ni,-0.4376999999999995,-0.2283999999999997,-0.1872999999999995,0.6345000000000001,-0.4709,0.0136000000000002,Ni,0.1307000000000009,3.4975413664458648,63,Ni,0.1590999999999987,4.639525708518059,62,Ni,-0.0130000000000016,5.568282828664508,58,"[49, 61, 46, 45, 62, 64, 41, 65, 60]",7.088149457192618,3.75,0.4157999999999829,-0.1017000000000081,0.5174999999999911,-0.0617509552589708,51,0.0439000000000007,0.0717999999999996,0.0278999999999988,55,-0.0039000000000015,-0.0036999999999984,0.0002000000000031,54,0.0056000000000011,0.0150000000000005,0.0093999999999994,49,0.0545000000000008,0.0524999999999984,-0.0020000000000023,61,0.0132000000000012,0.0199999999999995,0.0067999999999983,62,-0.0030000000000001,0.1590999999999987,0.1620999999999988,34,0.0372999999999983,0.0415999999999989,0.0043000000000006,46,0.0894000000000012,0.0799999999999983,-0.0094000000000029,45,0.059000000000001,0.0594000000000001,0.000399999999999,51,-0.0117000000000011,0.0439000000000007,0.0556000000000018,55,-0.0499000000000009,-0.0039000000000015,0.0459999999999994,54,-0.0315000000000011,0.0056000000000011,0.037100000000002194,49,0.0066999999999985,0.0545000000000008,0.0478000000000023,61,-0.0359000000000016,0.0132000000000012,0.049100000000002794,62,-0.0417999999999985,-0.0030000000000001,0.0387999999999984,34,0.0030999999999998,0.0372999999999983,0.0341999999999985,46,0.0474999999999994,0.0894000000000012,0.041900000000001804,45,0.0339999999999989,0.059000000000001,0.025000000000002104
